episode,robot_pos,target_pos,step
346,"[546.3257050734834, 309.55909720124606, 168.0]","[555, 315]",889
347,"[423.56754534667493, 78.59366289663028, 2.0]","[417, 71]",68
348,"[178.35088658784687, 202.87202007686832, 252.0]","[174, 212]",305
349,"[168.87007239856078, 373.08689747235667, 252.0]","[164, 382]",483
350,"[87.41802205466796, 289.66557230744115, 10.0]","[82, 281]",774
351,"[217.97261315881073, 514.17850795107, 254.0]","[213, 523]",716
352,"[168.8398097088073, 428.63104632155796, 2.0]","[162, 421]",952
353,"[144.31727050462425, 302.9556608189931, 28.0]","[142, 293]",593
354,"[182.80891495051188, 427.2693023054709, 332.0]","[173, 424]",1063
355,"[151.8545185702644, 440.80272545427346, 14.0]","[147, 432]",816
356,"[397.32870550099267, 67.62762337420484, 168.0]","[406, 73]",795
357,"[209.13354719703926, 312.55814529844525, 258.0]","[203, 321]",288
358,"[487.5144185816408, 510.56693619357935, 258.0]","[482, 519]",960
359,"[75.85075541025127, 298.3813157780323, 42.0]","[76, 288]",284
360,"[82.70404074378342, 282.9591184717016, 56.0]","[85, 273]",161
361,"[271.7203630390554, 208.79697936824445, 62.0]","[275, 199]",336
362,"[137.467686116334, 79.3369295855437, 36.0]","[136, 69]",717
363,"[705.2891380570718, 101.7812649900326, 196.0]","[710, 111]",221
364,"[519.9828728849566, 448.41551695563675, 184.0]","[527, 456]",713
365,"[707.5208382393383, 290.46598209563956, 194.0]","[713, 299]",1538
366,"[384.7723344141062, 450.0517985685877, 214.0]","[387, 460]",204
367,"[587.0160927175708, 473.89408347193876, 212.0]","[589, 484]",1235
368,"[709.6506979520375, 510.7159508994004, 196.0]","[714, 520]",1429
369,"[104.1359489269013, 328.6193310800535, 28.0]","[101, 319]",1081
370,"[533.5921438750029, 366.70182799734124, 228.0]","[533, 377]",881
371,"[244.7851917461973, 267.3360702886657, 128.0]","[255, 266]",435
372,"[168.6686536334013, 541.7968919121181, 334.0]","[159, 538]",1196
373,"[232.47938817266626, 299.59451572925394, 190.0]","[238, 308]",256
374,"[515.0045138192612, 70.536205281075, 24.0]","[511, 61]",449
375,"[696.094956095739, 188.58123300665588, 126.0]","[706, 187]",922
376,"[338.22254942562773, 426.6977837674927, 166.0]","[347, 432]",688
377,"[608.8443543801218, 226.5336327187433, 186.0]","[615, 235]",1126
378,"[256.8925763602105, 242.5398260558918, 298.0]","[247, 245]",478
379,"[641.8172616204712, 254.01829728657418, 72.0]","[647, 245]",529
380,"[492.1559645851949, 168.33062574452967, 82.0]","[498, 160]",534
381,"[186.52867328637635, 518.882450721535, 358.0]","[179, 512]",286
382,"[74.54308693650665, 178.813138991807, 6.0]","[68, 171]",828
383,"[380.006904226739, 234.54435861712707, 340.0]","[371, 230]",863
